,Bar_Time_UNIX,open,high,low,close,volume,Bar_Time_UTC_String
893,1623309300000,13784.8,13801.2,13783.5,13789.2,0,2021-06-10T07:15:00Z
894,1623310200000,13789.2,13800.4,13781.9,13795.2,0,2021-06-10T07:30:00Z
895,1623311100000,13795.2,13804.7,13791.7,13801.9,0,2021-06-10T07:45:00Z
896,1623312000000,13801.9,13803.4,13779.3,13786.7,0,2021-06-10T08:00:00Z
897,1623312900000,13786.7,13787.4,13766.4,13766.4,0,2021-06-10T08:15:00Z
898,1623313800000,13766.4,13786.9,13765.0,13782.9,0,2021-06-10T08:30:00Z
899,1623314700000,13782.9,13788.7,13776.7,13787.7,0,2021-06-10T08:45:00Z
900,1623315600000,13787.7,13793.7,13786.2,13787.0,0,2021-06-10T09:00:00Z
901,1623316500000,13787.0,13794.0,13779.8,13784.8,0,2021-06-10T09:15:00Z
902,1623317400000,13784.8,13790.8,13781.7,13785.3,0,2021-06-10T09:30:00Z
903,1623318300000,13785.3,13785.3,13769.7,13782.4,0,2021-06-10T09:45:00Z
904,1623319200000,13782.4,13788.9,13781.8,13783.2,0,2021-06-10T10:00:00Z
905,1623320100000,13783.2,13786.5,13778.7,13782.8,0,2021-06-10T10:15:00Z
906,1623321000000,13782.8,13782.8,13774.8,13775.4,0,2021-06-10T10:30:00Z
907,1623321900000,13775.4,13779.8,13766.9,13772.7,0,2021-06-10T10:45:00Z
908,1623322800000,13772.7,13785.4,13771.7,13783.9,0,2021-06-10T11:00:00Z
909,1623323700000,13783.9,13791.5,13774.4,13779.4,0,2021-06-10T11:15:00Z
910,1623324600000,13779.4,13779.4,13746.5,13762.3,0,2021-06-10T11:30:00Z
911,1623325500000,13762.3,13796.5,13761.8,13776.4,0,2021-06-10T11:45:00Z
912,1623326400000,13776.4,13789.3,13766.4,13788.7,0,2021-06-10T12:00:00Z
913,1623327300000,13788.7,13798.7,13783.2,13788.9,0,2021-06-10T12:15:00Z
914,1623328200000,13788.9,13814.7,13727.4,13774.0,0,2021-06-10T12:30:00Z
915,1623329100000,13774.0,13835.2,13763.4,13828.3,0,2021-06-10T12:45:00Z
916,1623330000000,13828.3,13851.9,13825.9,13838.4,0,2021-06-10T13:00:00Z
917,1623330900000,13838.4,13840.2,13828.4,13831.9,0,2021-06-10T13:15:00Z
918,1623331800000,13831.9,13922.7,13812.2,13917.7,0,2021-06-10T13:30:00Z
919,1623332700000,13917.7,13965.2,13917.4,13944.2,0,2021-06-10T13:45:00Z
920,1623333600000,13944.2,13960.5,13926.9,13930.9,0,2021-06-10T14:00:00Z
921,1623334500000,13930.9,13946.9,13923.7,13935.9,0,2021-06-10T14:15:00Z
922,1623335400000,13935.9,13945.7,13900.8,13902.0,0,2021-06-10T14:30:00Z
923,1623336300000,13902.0,13902.0,13825.4,13866.8,0,2021-06-10T14:45:00Z
924,1623337200000,13866.8,13882.6,13847.6,13878.6,0,2021-06-10T15:00:00Z
925,1623338100000,13878.6,13907.6,13877.4,13904.8,0,2021-06-10T15:15:00Z
926,1623339000000,13904.8,13919.1,13894.8,13906.9,0,2021-06-10T15:30:00Z
927,1623339900000,13906.9,13922.3,13906.9,13920.3,0,2021-06-10T15:45:00Z
928,1623340800000,13920.3,13934.4,13913.3,13926.8,0,2021-06-10T16:00:00Z
929,1623341700000,13926.8,13931.4,13913.1,13915.3,0,2021-06-10T16:15:00Z
930,1623342600000,13915.3,13938.4,13915.1,13937.3,0,2021-06-10T16:30:00Z
931,1623343500000,13937.3,13944.2,13934.8,13943.6,0,2021-06-10T16:45:00Z
932,1623344400000,13943.6,13946.2,13930.1,13940.9,0,2021-06-10T17:00:00Z
933,1623345300000,13940.9,13945.6,13935.5,13936.8,0,2021-06-10T17:15:00Z
934,1623346200000,13936.8,13942.8,13922.2,13941.1,0,2021-06-10T17:30:00Z
935,1623347100000,13941.1,13959.5,13940.6,13959.1,0,2021-06-10T17:45:00Z
936,1623348000000,13959.1,13960.3,13947.8,13952.5,0,2021-06-10T18:00:00Z
